localfile	source_repo	source_path	url
microsoft_azurelinux__specs_n_nftables_main.nft.nft	microsoft/azurelinux	specs/n/nftables/main.nft	https://github.com/microsoft/azurelinux/blob/HEAD/specs/n/nftables/main.nft
firezone_firezone__scripts_router_router.nft.nft	firezone/firezone	scripts/router/router.nft	https://github.com/firezone/firezone/blob/HEAD/scripts/router/router.nft
vmware_photon__SPECS_nftables_nft_ruleset_photon.nft.nft	vmware/photon	SPECS/nftables/nft_ruleset_photon.nft	https://github.com/vmware/photon/blob/HEAD/SPECS/nftables/nft_ruleset_photon.nft
universal-ctags_ctags__Units_parser-nftables.r_nftables-quota.d_input.nft.nft	universal-ctags/ctags	Units/parser-nftables.r/nftables-quota.d/input.nft	https://github.com/universal-ctags/ctags/blob/HEAD/Units/parser-nftables.r/nftables-quota.d/input.nft
DShield-ISC_dshield__etc_network_ruleset-init.nft.nft	DShield-ISC/dshield	etc/network/ruleset-init.nft	https://github.com/DShield-ISC/dshield/blob/HEAD/etc/network/ruleset-init.nft
mlan_docker-asterisk__src_autoban_nft_autoban.nft.nft	mlan/docker-asterisk	src/autoban/nft/autoban.nft	https://github.com/mlan/docker-asterisk/blob/HEAD/src/autoban/nft/autoban.nft
pcollinson_nftfw__etc_nftfw_nftfw_init.nft.nft	pcollinson/nftfw	etc_nftfw/nftfw_init.nft	https://github.com/pcollinson/nftfw/blob/HEAD/etc_nftfw/nftfw_init.nft
greenpau_cni-plugins__assets_nftables_base_config.nft.nft	greenpau/cni-plugins	assets/nftables/base_config.nft	https://github.com/greenpau/cni-plugins/blob/HEAD/assets/nftables/base_config.nft
QubesOS_qubes-core-agent-linux__network_qubes-ipv4.nft.nft	QubesOS/qubes-core-agent-linux	network/qubes-ipv4.nft	https://github.com/QubesOS/qubes-core-agent-linux/blob/HEAD/network/qubes-ipv4.nft
chpc-tech-eval_scc__tutorial2_resources_hn.nft.nft	chpc-tech-eval/scc	tutorial2/resources/hn.nft	https://github.com/chpc-tech-eval/scc/blob/HEAD/tutorial2/resources/hn.nft
libreswan_libreswan__testing_guestbin_nftable-westneteastnet-ipsec-only.nft.nft	libreswan/libreswan	testing/guestbin/nftable-westneteastnet-ipsec-only.nft	https://github.com/libreswan/libreswan/blob/HEAD/testing/guestbin/nftable-westneteastnet-ipsec-only.nft
sej7278_virt-installs__host_config_ruleset.nft.nft	sej7278/virt-installs	host_config/ruleset.nft	https://github.com/sej7278/virt-installs/blob/HEAD/host_config/ruleset.nft
UMCST_linux-lab-docker__firewall.nft.nft	UMCST/linux-lab-docker	firewall.nft	https://github.com/UMCST/linux-lab-docker/blob/HEAD/firewall.nft
gene-git_wg_tool__scripts_postup.nft.nft	gene-git/wg_tool	scripts/postup.nft	https://github.com/gene-git/wg_tool/blob/HEAD/scripts/postup.nft
kennyballou_dotfiles__systems_bard_nftables-rules.nft.nft	kennyballou/dotfiles	systems/bard/nftables-rules.nft	https://github.com/kennyballou/dotfiles/blob/HEAD/systems/bard/nftables-rules.nft
ubune_openwrt-livebox__22-03_etc_-_wan_name_interface__eth0_nftables.d_10-custom-filter-chains.nft.nft	ubune/openwrt-livebox	22-03/etc - wan name interface = eth0/nftables.d/10-custom-filter-chains.nft	https://github.com/ubune/openwrt-livebox/blob/HEAD/22-03/etc - wan name interface = eth0/nftables.d/10-custom-filter-chains.nft
KDE_syntax-highlighting__autotests_input_highlight.nft.nft	KDE/syntax-highlighting	autotests/input/highlight.nft	https://github.com/KDE/syntax-highlighting/blob/HEAD/autotests/input/highlight.nft
chutz_mullvad-netns__rules.nft.nft	chutz/mullvad-netns	rules.nft	https://github.com/chutz/mullvad-netns/blob/HEAD/rules.nft
greg-hellings_nixos-config__hosts_unstable_genesis_nftables.nft.nft	greg-hellings/nixos-config	hosts/unstable/genesis/nftables.nft	https://github.com/greg-hellings/nixos-config/blob/HEAD/hosts/unstable/genesis/nftables.nft
VTimofeenko_wg-namespace-flake__modules_namespace_default_fw.nft.nft	VTimofeenko/wg-namespace-flake	modules/namespace_default_fw.nft	https://github.com/VTimofeenko/wg-namespace-flake/blob/HEAD/modules/namespace_default_fw.nft
lukehatcherRP_nftables__files_nftables_ipv6-filter.nft.nft	lukehatcherRP/nftables	files/nftables/ipv6-filter.nft	https://github.com/lukehatcherRP/nftables/blob/HEAD/files/nftables/ipv6-filter.nft
Thomas-Walker-Lynch_SubU__developer_DNS_10-block-IPv6.nft.nft	Thomas-Walker-Lynch/SubU	developer/DNS/10-block-IPv6.nft	https://github.com/Thomas-Walker-Lynch/SubU/blob/HEAD/developer/DNS/10-block-IPv6.nft
yinbaiyuan_houzzkit-f1-opensource__houzzkit-f1-rootfs-u2404_ubuntu-rootfs_usr_share_doc_nftables_examples_secmark.nft.nft	yinbaiyuan/houzzkit-f1-opensource	houzzkit-f1-rootfs-u2404/ubuntu-rootfs/usr/share/doc/nftables/examples/secmark.nft	https://github.com/yinbaiyuan/houzzkit-f1-opensource/blob/HEAD/houzzkit-f1-rootfs-u2404/ubuntu-rootfs/usr/share/doc/nftables/examples/secmark.nft
jahknem_rsf_2__firewallB_firewallB.nft.nft	jahknem/rsf_2	firewallB/firewallB.nft	https://github.com/jahknem/rsf_2/blob/HEAD/firewallB/firewallB.nft
sophos_spl-netfilter-public__nftables_files_nftables_ipv4-nat.nft.nft	sophos/spl-netfilter-public	nftables/files/nftables/ipv4-nat.nft	https://github.com/sophos/spl-netfilter-public/blob/HEAD/nftables/files/nftables/ipv4-nat.nft
jeverley_dscpclassify__etc_dscpclassify.d_main.nft.nft	jeverley/dscpclassify	etc/dscpclassify.d/main.nft	https://github.com/jeverley/dscpclassify/blob/HEAD/etc/dscpclassify.d/main.nft
BayKeremm_linfo2347-network-attacks__filters_normal_op_http.nft.nft	BayKeremm/linfo2347-network-attacks	filters/normal_op/http.nft	https://github.com/BayKeremm/linfo2347-network-attacks/blob/HEAD/filters/normal_op/http.nft
Safronus_ctyrlistkoteka__deploy_nftables-permaban.nft.nft	Safronus/ctyrlistkoteka	deploy/nftables-permaban.nft	https://github.com/Safronus/ctyrlistkoteka/blob/HEAD/deploy/nftables-permaban.nft
